,OR,pval,p_adj,genes,source
Estrogen signaling pathway ,7.382475829077771,3.998365330390358e-17,1.3794360389846736e-14,"AKT1, EGFR, JUN, KRAS, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9, PGR, PIK3CA, RARA, SHC1",Pure_NetAn_KEGG
Staphylococcus aureus infection ,8.323873343151694,1.3125423843457112e-14,2.264135612996352e-12,"KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9",Pure_NetAn_KEGG
Fanconi anemia pathway ,12.625082786441086,8.220129407400777e-14,9.453148818510894e-12,"ATR, BLM, BRCA1, BRCA2, BRIP1, EME1, ERCC4, FANCA, FANCC, FANCD2, FANCG, FANCI, FANCL, FANCM, MLH1, PALB2, PMS2, RAD51, RAD51C, SLX4",Pure_NetAn_KEGG
Homologous recombination ,15.163392857142858,6.80086025895264e-13,5.865741973346651e-11,"ATM, BARD1, BLM, BRCA1, BRCA2, BRIP1, EME1, MRE11, NBN, PALB2, POLD1, RAD50, RAD51, RAD51C, RAD51D, RAD54L, XRCC2",Pure_NetAn_KEGG
Endometrial cancer ,6.6330281451339435,2.777662517911969e-07,1.9165871373592585e-05,"AKT1, APC, AXIN2, BRAF, CDH1, CTNNA1, CTNNA2, EGFR, ERBB2, KRAS, MLH1, PIK3CA, PTEN, TP53",Pure_NetAn_KEGG
Gastric cancer ,3.4816526877621046,4.259901674763577e-06,0.00024494434629890565,"AKT1, APC, AXIN2, BRAF, CDH1, CDKN1B, CDKN2B, CTNNA1, CTNNA2, DVL2, EGFR, ERBB2, FZD2, JUP, KRAS, MLH1, PIK3CA, SHC1, TP53, WNT3, WNT9B",Pure_NetAn_KEGG
Non-small cell lung cancer ,4.611432926829268,2.1658285343969564e-05,0.0009898788997291417,"AKT1, BRAF, CDKN2A, EGFR, ERBB2, FHIT, KRAS, PIK3CA, RET, STAT3, STAT5A, STAT5B, TP53",Pure_NetAn_KEGG
Chemokine signaling pathway ,2.893821717598744,2.2953713616907633e-05,0.0009898788997291417,"AKT1, BCAR1, BRAF, CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL3L3, CCL4, CCL4L1, CCL4L2, CCL5, CCR10, CCR7, GNGT2, KRAS, PIK3CA, SHC1, STAT3, STAT5B",Pure_NetAn_KEGG
FoxO signaling pathway ,3.33955677932229,3.22531442720421e-05,0.0012363705304282806,"AKT1, ATM, BRAF, CDKN1B, CDKN2B, EGFR, G6PC1, G6PC3, GABARAP, IL7R, KRAS, PIK3CA, PLK1, PLK2, PTEN, SLC2A4, STAT3, STK11",Pure_NetAn_KEGG
Breast cancer ,3.1436248632710324,4.149967313466091e-05,0.0013200745064914196,"AKT1, APC, AXIN2, BRAF, BRCA1, BRCA2, DVL2, EGFR, ERBB2, FZD2, JUN, KRAS, PGR, PIK3CA, PTEN, SHC1, TP53, WNT3, WNT9B",Pure_NetAn_KEGG
Viral protein interaction with cytokine and cytokine receptor ,3.759075116808434,4.317525128859607e-05,0.0013200745064914196,"CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL3L3, CCL4, CCL4L1, CCL4L2, CCL5, CCR10, CCR7, IL2",Pure_NetAn_KEGG
Pathways in cancer ,1.9871345054415208,4.9112009812727704e-05,0.0013200745064914196,"AKT1, APC, AXIN2, BIRC2, BIRC3, BRAF, BRCA2, CDH1, CDKN1B, CDKN2A, CDKN2B, CKS1B, CTNNA1, CTNNA2, DVL2, EGFR, ERBB2, FZD2, GNGT2, IL2, IL7R, ITGA2B, ITGA3, JUN, JUP, KRAS, MITF, MLH1, MMP1, MSH2, MSH3, MSH6, PIK3CA, PTCH2, PTEN, RAD51, RARA, RET, STAT3, STAT5A, STAT5B, SUFU, TP53, WNT3, WNT9B",Pure_NetAn_KEGG
Mismatch repair ,9.274558080808081,4.974193792576364e-05,0.0013200745064914196,"MLH1, MLH3, MSH2, MSH3, MSH6, PMS2, POLD1",Pure_NetAn_KEGG
Colorectal cancer ,3.7365002197319273,0.00014308908088372528,0.0035261237789203734,"AKT1, APC, AXIN2, BRAF, EGFR, JUN, KRAS, MLH1, MSH2, MSH3, MSH6, PIK3CA, TP53",Pure_NetAn_KEGG
Melanoma ,3.7680919976444414,0.00042420386007730165,0.009391026880806784,"AKT1, BRAF, CDH1, CDKN2A, EGFR, KRAS, MITF, PDGFD, PIK3CA, PTEN, TP53",Pure_NetAn_KEGG
Bladder cancer ,5.140178325213714,0.0004355258843272711,0.009391026880806784,"BRAF, CDH1, CDKN2A, EGFR, ERBB2, KRAS, MMP1, TP53",Pure_NetAn_KEGG
Pancreatic cancer ,3.539046653144016,0.0006757646852759713,0.01371404802471824,"AKT1, BRAF, BRCA2, CDKN2A, EGFR, ERBB2, KRAS, PIK3CA, RAD51, STAT3, TP53",Pure_NetAn_KEGG
Acute myeloid leukemia ,3.6587709184921215,0.0009311563883135047,0.017847164109342173,"AKT1, BRAF, JUP, KRAS, MPO, PIK3CA, RARA, STAT3, STAT5A, STAT5B",Pure_NetAn_KEGG
Small cell lung cancer ,3.1467569091934573,0.0009941072575831813,0.018050894940326186,"AKT1, BIRC2, BIRC3, CDKN1B, CDKN2B, CKS1B, FHIT, ITGA2B, ITGA3, PIK3CA, PTEN, TP53",Pure_NetAn_KEGG
ErbB signaling pathway ,3.113022312373225,0.0017109437034983454,0.029513778885346457,"AKT1, BRAF, CDKN1B, EGFR, ERBB2, JUN, KRAS, PIK3CA, SHC1, STAT5A, STAT5B",Pure_NetAn_KEGG
Cushing syndrome ,2.4481259029473668,0.0018359023353374422,0.030161252651972264,"AIP, APC, AXIN2, BRAF, CACNA1G, CDKN1B, CDKN2A, CDKN2B, CRHR1, CYP17A1, DVL2, EGFR, FZD2, MEN1, WNT3, WNT9B",Pure_NetAn_KEGG
Basal cell carcinoma ,3.533906882591093,0.0020372715643344136,0.0314247142913283,"APC, AXIN2, DVL2, FZD2, PTCH2, SUFU, TP53, WNT3, WNT9B",Pure_NetAn_KEGG
Hippo signaling pathway ,2.413169366907411,0.00209498095275522,0.0314247142913283,"APC, AXIN2, BIRC2, BIRC3, BMPR1A, CDH1, CTNNA1, CTNNA2, DLG4, DVL2, FZD2, NF2, PPP2R1B, WNT3, WNT9B, YAP1",Pure_NetAn_KEGG
Chronic myeloid leukemia ,3.165933251674757,0.002437153610735483,0.03503408315432257,"AKT1, BRAF, CDKN1B, CDKN2A, KRAS, PIK3CA, SHC1, STAT5A, STAT5B, TP53",Pure_NetAn_KEGG
