,OR,pval,p_adj,genes,source
cytosol,1.2968405942374008,0.0001663040787609239,0.025341045956970117,"AASDHPPT, ABCB6, ACACA, ACLY, ACTA2, ADIRF, AIMP2, AIP, AKAP1, AKT1, ALKBH8, ALOX12B, ALOX15B, ALOXE3, AMOTL1, AP1B1, AP2B1, APC, ARHGAP20, ARHGAP23, ARHGAP27, ARHGEF15, ASB16, ATAD1, ATM, ATP6V0A1, AURKB, AXIN2, BAP1, BCAR1, BECN1, BIRC2, BIRC3, BLM, BRAF, BRCA2, CALCOCO2, CASC3, CASP1, CASP12, CASP4, CASP5, CAVIN1, CCDC43, CCL3, CDC27, CDC6, CDC73, CDK5RAP3, CDKN1B, CDKN2A, CDKN2B, CEP57, CNTROB, COPZ2, CRYAB, CTC1, CTNNA1, CTNNA2, CUL5, DCTN5, DDX41, DGKE, DHX8, DIXDC1, DLG4, DNAJC21, DNAJC7, DROSHA, DUSP3, DVL2, DYNLL2, EFTUD2, EGFR, EIF2B5, EIF4A1, EIF5A, ELP5, ENDOD1, ERBB2, EVI2A, FANCA, FANCC, FANCD2, FANCG, FANCI, FANCL, FANCM, FBXL20, FHIT, FMNL1, FXR2, GABARAP, GFAP, GOSR2, GPS2, GPSM2, GRB7, GSDMA, GUCY1A2, HAP1, HDAC5, HEXIM2, HNF1B, HOXB5, HOXB7, HSCB, HSD17B1, HSPB2, HSPB9, IFI35, IGF2BP1, IKZF3, IL7R, JUP, KAT7, KIF18B, KIF2B, KLHL11, KPNB1, KRAS, KRT10, KRT12, KRT13, KRT14, KRT15, KRT16, KRT17, KRT19, KRT20, KRT23, KRT24, KRT25, KRT26, KRT27, KRT28, KRT31, KRT32, KRT33A, KRT33B, KRT34, KRT35, KRT36, KRT37, KRT38, KRT39, KRT40, KRT9, KRTAP1-1, KRTAP1-3, KRTAP1-4, KRTAP1-5, KRTAP16-1, KRTAP17-1, KRTAP2-1, KRTAP2-2, KRTAP2-3, KRTAP2-4, KRTAP3-1, KRTAP3-2, KRTAP3-3, KRTAP4-1, KRTAP4-11, KRTAP4-12, KRTAP4-2, KRTAP4-3, KRTAP4-4, KRTAP4-5, KRTAP4-6, KRTAP4-7, KRTAP4-8, KRTAP4-9, KRTAP9-1, KRTAP9-2, KRTAP9-3, KRTAP9-4, KRTAP9-6, KRTAP9-7, KRTAP9-8, KRTAP9-9, LCP1, MAP3K14, MAPT, MEN1, MIEN1, MITF, MKS1, MLX, MMP3, MRE11, MSH6, MSI2, MTMR2, MTMR3, MTMR4, MYL4, MYO19, MYO7A, NBN, NBR1, NF1, NF2, NFE2L1, NGFR, NISCH, NME1, NME2, NMT1, NPEPPS, NSF, NT5C3B, OSBPL7, PAH, PAPSS2, PCTP, PDK2, PER1, PEX12, PFAS, PGR, PHF23, PHOSPHO1, PIK3CA, PIP4K2B, PLK1, PLK2, PLSCR3, PMS2, PNMT, PNPO, POLD1, POU2AF2, POU2AF3, PPM1D, PPP1R1B, PPP2R1B, PRAC1, PSMB3, PSMD3, PSME3, PTEN, PTGES3L, RAB39A, RAD51, RAD51C, RANGRF, RARA, RB1CC1, RDM1, RIPK1, RND2, RPL19, RPL23, RPL26, RPL27, SCPEP1, SEC23B, SEPTIN4, SHC1, SKAP1, SLC2A4, SLFN11, SLFN12, SNCG, SNF8, SOCS7, SP6, SPAG9, SRSF8, STAC2, STAMBPL1, STARD3, STAT3, STAT5A, STAT5B, STH, STK11, STXBP1, SUFU, TCAP, THRA, TMEM88, TNFSF13, TNS4, TOM1L1, TP53, TRAPPC1, TRIM25, TSPOAP1, TTLL6, TTN, TUBG1, TUBG2, UBE2Z, UNC45B, VAMP2, VPS25, WIPF2, WNK4, WRAP53, XBP1, YAP1, ZBTB4",Pure_NetAn_GO
Fanconi anaemia nuclear complex,13.227696572580646,0.00017955490847824018,0.026195915051814744,"FANCA, FANCC, FANCG, FANCL, FANCM",Pure_NetAn_GO
cyclin-dependent protein serine/threonine kinase inhibitor activity,13.227696572580646,0.00017955490847824018,0.026195915051814744,"CDKN1B, CDKN2A, CDKN2B, HEXIM1, HEXIM2",Pure_NetAn_GO
positive regulation of cell migration,2.28291430667047,0.00019321582467173072,0.027601685620292866,"AKT1, APC, ATM, BCAR1, CCL14, CCL15, CCL16, CCL18, CCL23, CCL3, CCL3L1, CCL4, CCL4L1, CCL5, COL1A1, EGFR, ELP5, GRB7, GRN, MIEN1, MMP7, PDGFD, RDX, RET, SPAG9, STAT3, XBP1",Pure_NetAn_GO
anterior/posterior pattern specification,3.544207317073171,0.0002269244954748459,0.031755536030020785,"HES7, HNF1B, HOXB1, HOXB2, HOXB3, HOXB4, HOXB5, HOXB6, HOXB7, HOXB8, HOXB9, LHX1, PCGF2",Pure_NetAn_GO
extracellular matrix disassembly,4.773962550607288,0.00031126598071616585,0.04268701659541499,"LCP1, MMP1, MMP10, MMP12, MMP13, MMP20, MMP3, MMP7, MMP8",Pure_NetAn_GO
Rad51B-Rad51C-Rad51D-XRCC2 complex,63.38631790744467,0.0003586368283501576,0.04639948550937793,"RAD51C, RAD51D, XRCC2",Pure_NetAn_GO
DNA strand invasion,63.38631790744467,0.0003586368283501576,0.04639948550937793,"RAD51, RAD51D, XRCC2",Pure_NetAn_GO
Y-form DNA binding,63.38631790744467,0.0003586368283501576,0.04639948550937793,"BLM, MEN1, WRN",Pure_NetAn_GO
mismatch repair,6.180681818181818,0.0003884840874624973,0.04933028495796933,"MLH1, MLH3, MSH2, MSH3, MSH6, MUTYH, PMS2",Pure_NetAn_GO
