annotation,SYMBOL
plasma membrane,IGHV3OR15-7
immunoglobulin complex,IGHV3OR15-7
extracellular region,IGHV3OR16-13
plasma membrane,IGHV3OR16-13
immunoglobulin complex,IGHV3OR16-13
extracellular region,IGHV3OR16-10
plasma membrane,IGHV3OR16-10
immunoglobulin complex,IGHV3OR16-10
extracellular region,IGHV3OR16-8
plasma membrane,IGHV3OR16-8
immunoglobulin complex,IGHV3OR16-8
extracellular region,IGLV5-45
plasma membrane,IGLV5-45
extracellular region,IGHV4-30-2
plasma membrane,IGHV4-30-2
immunoglobulin complex,IGHV4-30-2
extracellular region,IGKV3D-15
plasma membrane,IGKV3D-15
extracellular region,IGKV1D-8
plasma membrane,IGKV1D-8
T cell receptor complex,TRAV30
alpha-beta T cell receptor complex,TRAV27
T cell receptor complex,TRAV9-2
T cell receptor complex,TRAV26-1
membrane,TMEM265
cytoplasm,NBPF19
T cell receptor complex,TRBV16
plasma membrane,TBC1D3D
extracellular region,LOC102724971
plasma membrane,LOC102724971
immunoglobulin complex,LOC102724971
extracellular region,IGKV2-40
plasma membrane,IGKV2-40
kinetochore,MEIKIN
"condensed chromosome, centromeric region",MEIKIN
plasma membrane,TBC1D3I
extracellular region,IGHV1OR21-1
plasma membrane,IGHV1OR21-1
immunoglobulin complex,IGHV1OR21-1
T cell receptor complex,TRBV17
T cell receptor complex,TRBV18
plasma membrane,TBC1D3E
cytoplasm,CYP2D7
mitochondrion,CYP2D7
membrane,CYP2D7
plasma membrane,TBC1D3K
mitochondrion,SMIM26
mitochondrial outer membrane,SMIM26
centrosome,CCDC187
mitochondrion,UQCRHL
mitochondrial inner membrane,UQCRHL
extracellular region,IGKV2D-26
plasma membrane,IGKV2D-26
extracellular region,IGKV3D-11
plasma membrane,IGKV3D-11
extracellular region,IGLV5-52
plasma membrane,IGLV5-52
extracellular region,IGLV3-32
plasma membrane,IGLV3-32
T cell receptor complex,TRGV10
T cell receptor complex,TRGV1
T cell receptor complex,TRBV5-3
T cell receptor complex,TRBV6-7
T cell receptor complex,TRBV5-7
T cell receptor complex,TRBV23-1
extracellular region,IGHV1-45
plasma membrane,IGHV1-45
immunoglobulin complex,IGHV1-45
extracellular region,IGHV3-49
plasma membrane,IGHV3-49
immunoglobulin complex,IGHV3-49
extracellular region,IGKV6D-21
plasma membrane,IGKV6D-21
T cell receptor complex,TRBJ2-6
extracellular region,IGLJ1
plasma membrane,IGLJ1
immunoglobulin complex,IGLJ1
T cell receptor complex,TRBJ2-7
T cell receptor complex,TRBJ2-4
extracellular region,IGKJ1
plasma membrane,IGKJ1
immunoglobulin complex,IGKJ1
T cell receptor complex,TRBJ2-2
T cell receptor complex,TRBJ2-5
T cell receptor complex,TRBJ2-1
T cell receptor complex,TRAV14DV4
T cell receptor complex,TRBV13
T cell receptor complex,TRBV6-6
T cell receptor complex,TRBV6-8
T cell receptor complex,TRAV8-3
T cell receptor complex,TRAV8-1
T cell receptor complex,TRBV7-1
T cell receptor complex,TRAV16
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
plasma membrane,TRAV19
T cell receptor complex,TRAV19
synapse,LY6G6E
extracellular region,IGLV1-36
plasma membrane,IGLV1-36
T cell receptor complex,TRGV5
T cell receptor complex,TRBV9
extracellular region,IGHV6-1
plasma membrane,IGHV6-1
immunoglobulin complex,IGHV6-1
extracellular region,IGHV3-15
plasma membrane,IGHV3-15
immunoglobulin complex,IGHV3-15
extracellular region,IGHV3-21
plasma membrane,IGHV3-21
immunoglobulin complex,IGHV3-21
extracellular region,IGHV2-26
plasma membrane,IGHV2-26
immunoglobulin complex,IGHV2-26
extracellular region,IGHV3-73
plasma membrane,IGHV3-73
immunoglobulin complex,IGHV3-73
extracellular region,IGHV7-81
plasma membrane,IGHV7-81
immunoglobulin complex,IGHV7-81
extracellular region,IGHV3-74
plasma membrane,IGHV3-74
immunoglobulin complex,IGHV3-74
extracellular region,IGHV3-43
plasma membrane,IGHV3-43
immunoglobulin complex,IGHV3-43
extracellular region,IGLV9-49
plasma membrane,IGLV9-49
extracellular region,IGHV3-72
plasma membrane,IGHV3-72
immunoglobulin complex,IGHV3-72
extracellular region,IGKV1D-43
plasma membrane,IGKV1D-43
T cell receptor complex,TRBJ2-3
T cell receptor complex,TRAV2
T cell receptor complex,TRAV13-2
T cell receptor complex,TRAV8-2
T cell receptor complex,TRAV1-2
T cell receptor complex,TRAV10
T cell receptor complex,TRAV13-1
T cell receptor complex,TRAV3
T cell receptor complex,TRAV12-1
T cell receptor complex,TRAV1-1
T cell receptor complex,TRAV5
T cell receptor complex,TRAV8-6
T cell receptor complex,TRAV39
T cell receptor complex,TRAV38-1
T cell receptor complex,TRAV26-2
T cell receptor complex,TRAV41
T cell receptor complex,TRAV4
T cell receptor complex,TRAV12-3
T cell receptor complex,TRAV24
T cell receptor complex,TRAV34
T cell receptor complex,TRAV20
T cell receptor complex,TRAV17
T cell receptor complex,TRAV25
T cell receptor complex,TRAV22
T cell receptor complex,TRAV21
T cell receptor complex,TRAV40
extracellular region,IGHV3OR16-9
plasma membrane,IGHV3OR16-9
immunoglobulin complex,IGHV3OR16-9
extracellular region,IGHV2OR16-5
plasma membrane,IGHV2OR16-5
immunoglobulin complex,IGHV2OR16-5
extracellular region,IGHV1OR15-9
plasma membrane,IGHV1OR15-9
immunoglobulin complex,IGHV1OR15-9
extracellular region,IGKV1D-13
plasma membrane,IGKV1D-13
T cell receptor complex,TRBV12-4
mitochondrion,PIGBOS1
mitochondrial outer membrane,PIGBOS1
extracellular region,IGHV1-69D
plasma membrane,IGHV1-69D
immunoglobulin complex,IGHV1-69D
extracellular region,IGKV6-21
plasma membrane,IGKV6-21
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
extracellular region,IGKV3D-20
