annotation,SYMBOL
FAT10 activating enzyme activity,UBA6
calcium ion binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
protein binding,ESYT2
calcium-dependent phospholipid binding,ESYT2
phosphatidylethanolamine binding,ESYT2
phosphatidylcholine binding,ESYT2
phosphatidylinositol binding,ESYT2
identical protein binding,ESYT2
identical protein binding,ESYT2
cadherin binding,ESYT2
protein binding,ESYT3
protein binding,ESYT3
protein binding,ESYT3
protein binding,ESYT3
transcription coregulator activity,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,MED19
protein binding,BLTP3B
protein binding,BLTP3B
protein homodimerization activity,BLTP3B
GARP complex binding,BLTP3B
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,POTEB3
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
protein binding,SHTN1
kinesin binding,SHTN1
identical protein binding,SHTN1
cadherin binding,SHTN1
actin filament binding,SHTN1
oxidoreductase activity,DHRS12
solute:sodium symporter activity,SLC5A10
protein binding,DAPL1
protein binding,DAPL1
protein binding,DAPL1
protein binding,DAPL1
protein binding,DAPL1
translation repressor activity,DAPL1
translation initiation factor binding,DAPL1
ribosome binding,DAPL1
magnesium ion binding,CIB4
calcium ion binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,CIB4
protein binding,SHISA3
protein binding,SHISA3
protein binding,SHISA3
protein binding,SHISA3
protein binding,SHISA3
protein binding,SHISA3
protein binding,SHISA3
"DNA-binding transcription repressor activity, RNA polymerase II-specific",FEZF1
protein binding,FEZF1
protein binding,FEZF1
protein binding,FEZF1
protein binding,FEZF1
protein binding,FEZF1
protein binding,FEZF1
zinc ion binding,FEZF1
UDP-xylosyltransferase activity,GXYLT2
monoatomic ion channel activity,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM120B
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,TMEM72
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,CLRN2
protein binding,SLC66A1LP
GTPase activator activity,ARHGAP10
protein binding,ARHGAP10
protein binding,ARHGAP10
protein binding,ARHGAP10
protein binding,ARHGAP10
GTPase activity,IRGM
G protein activity,IRGM
protein binding,IRGM
protein binding,IRGM
protein binding,IRGM
protein binding,IRGM
protein binding,IRGM
GTP binding,IRGM
protein kinase binding,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
protein-macromolecule adaptor activity,IRGM
