annotation,SYMBOL
negative regulation of cytoplasmic mRNA processing body assembly,NBDY
G protein-coupled receptor signaling pathway,OR4M2B
detection of chemical stimulus involved in sensory perception of smell,OR4M2B
keratinization,LCE6A
endoplasmic reticulum calcium ion homeostasis,TUNAR
positive regulation of insulin secretion involved in cellular response to glucose stimulus,TUNAR
negative regulation of neuron differentiation,TUNAR
neuron projection morphogenesis,TUNAR
regulation of cytosolic calcium ion concentration,TUNAR
flagellated sperm motility,SPMIP11
myoblast fusion,MYMX
myoblast fusion,MYMX
myoblast fusion involved in skeletal muscle regeneration,MYMX
myoblast fusion involved in skeletal muscle regeneration,MYMX
skeletal muscle tissue regeneration,MYMX
plasma membrane fusion,MYMX
skeletal muscle organ development,MYMX
positive regulation of keratinocyte differentiation,SPRR5
regulation of DNA-templated transcription,HSFX4
proteolysis,CIROP
cell adhesion,CIROP
establishment of left/right asymmetry,CIROP
proteolysis,PRSS51
regulation of skeletal muscle tissue regeneration,SPAAR
cellular response to amino acid stimulus,SPAAR
regulation of transcription by RNA polymerase II,HSFX3
adaptive immune response,TRBV7-6
adaptive immune response,TRBV6-4
adaptive immune response,TRBV7-8
adaptive immune response,TRDV1
innate immune response,TRDV1
adaptive immune response,TRBV2
adaptive immune response,TRBV12-5
adaptive immune response,TRBV7-4
adaptive immune response,TRBV7-2
chromatin remodeling,SSU72L1
regulation of transcription by RNA polymerase II,SSU72L1
regulation of transcription by RNA polymerase II,SSU72L1
mRNA processing,SSU72L1
chromatin remodeling,SSU72L5
regulation of transcription by RNA polymerase II,SSU72L5
regulation of transcription by RNA polymerase II,SSU72L5
mRNA processing,SSU72L5
chromatin remodeling,SSU72L4
regulation of transcription by RNA polymerase II,SSU72L4
regulation of transcription by RNA polymerase II,SSU72L4
mRNA processing,SSU72L4
chromatin remodeling,SSU72L2
regulation of transcription by RNA polymerase II,SSU72L2
regulation of transcription by RNA polymerase II,SSU72L2
mRNA processing,SSU72L2
chromatin remodeling,SSU72L3
regulation of transcription by RNA polymerase II,SSU72L3
regulation of transcription by RNA polymerase II,SSU72L3
mRNA processing,SSU72L3
regulation of transcription by RNA polymerase II,ZNF722
negative regulation of DNA-templated transcription,TLE7
chromatin remodeling,SSU72L6
regulation of transcription by RNA polymerase II,SSU72L6
regulation of transcription by RNA polymerase II,SSU72L6
mRNA processing,SSU72L6
